Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39
"NaOH,aq",3.6650E-07,3.6650E-07,3.6650E-07,3.6650E-07,3.6650E-07,3.6649E-07,3.6641E-07,3.6530E-07,3.4870E-07,3.3229E-07,2.8201E-07,2.7487E-07,2.5031E-07,2.4967E-07,2.1268E-07,2.1029E-07,1.6954E-07,1.3735E-07,1.0806E-07,1.0007E-07,8.4256E-08,7.6810E-08,7.6810E-08,7.5957E-08,7.0621E-08,7.0122E-08,6.4799E-08,6.4052E-08,5.8330E-08,3.0833E-08,2.5054E-08,2.5054E-08,2.5055E-08,2.5279E-08,2.5765E-08,2.5765E-08,2.5765E-08,2.5764E-08,2.7883E-08,2.7883E-08
"KOH,aq",2.8756E-07,2.8756E-07,2.8756E-07,2.8756E-07,2.8758E-07,2.8774E-07,2.8931E-07,3.0495E-07,3.9602E-07,4.4355E-07,5.1803E-07,5.2319E-07,5.2750E-07,5.2711E-07,5.1124E-07,5.1057E-07,4.9067E-07,4.3292E-07,3.4591E-07,3.1919E-07,2.6388E-07,2.3606E-07,2.3606E-07,2.3214E-07,2.0853E-07,2.0697E-07,1.9038E-07,1.8806E-07,1.7026E-07,8.3386E-08,6.3144E-08,6.3144E-08,6.3144E-08,6.3167E-08,6.3812E-08,6.3812E-08,6.3811E-08,6.3809E-08,6.7419E-08,6.7419E-08
"FORMIC ACID,aq",7.2932E-08,7.2932E-08,7.2932E-08,7.2935E-08,7.2961E-08,7.3227E-08,7.5932E-08,1.0858E-07,8.0808E-07,2.4219E-06,2.5645E-05,3.4104E-05,7.9916E-05,8.1210E-05,2.4757E-04,2.6995E-04,1.4585E-03,5.1466E-03,1.0418E-02,1.1307E-02,1.0944E-02,9.4332E-03,9.4322E-03,7.7168E-03,1.5047E-03,1.4670E-03,1.0935E-03,1.0757E-03,9.3795E-04,2.8419E-04,1.5650E-04,1.5647E-04,1.5593E-04,4.1055E-05,1.7102E-06,1.7101E-06,1.7096E-06,1.7067E-06,1.8923E-06,1.8923E-06
"FeO,aq",7.5093E-09,7.5093E-09,7.5093E-09,7.5094E-09,7.5103E-09,7.5184E-09,7.6002E-09,8.4553E-09,1.5428E-08,2.1559E-08,4.5301E-08,4.9640E-08,6.5303E-08,6.5643E-08,9.4121E-08,9.6789E-08,1.6740E-07,2.5892E-07,3.5261E-07,3.7571E-07,4.1196E-07,4.2068E-07,4.2067E-07,3.9465E-07,2.4103E-07,2.3924E-07,2.1948E-07,2.1633E-07,1.9195E-07,6.7861E-08,3.6850E-08,3.6848E-08,3.6819E-08,3.0388E-08,2.8877E-08,2.8876E-08,2.8873E-08,2.8859E-08,2.9054E-08,2.9054E-08
HFeO2-,5.2244E-09,5.2244E-09,5.2244E-09,5.2244E-09,5.2240E-09,5.2200E-09,5.1810E-09,4.8171E-09,3.3504E-09,2.8624E-09,2.3142E-09,2.2824E-09,2.0178E-09,1.9995E-09,1.4398E-09,1.4351E-09,2.0781E-09,3.3316E-09,3.4586E-09,3.2457E-09,2.8698E-09,3.1040E-09,3.1039E-09,2.9914E-09,2.2945E-09,2.2830E-09,2.1762E-09,2.1608E-09,2.0752E-09,9.9021E-09,3.8065E-07,3.8069E-07,3.8150E-07,6.3379E-07,1.2775E-06,1.2775E-06,1.2777E-06,1.2773E-06,1.2782E-05,1.2782E-05
"HCl,aq",2.1976E-09,2.1976E-09,2.1975E-09,2.1976E-09,2.1981E-09,2.2034E-09,2.2565E-09,2.8564E-09,1.1062E-08,2.3807E-08,1.3348E-07,1.6563E-07,3.1911E-07,3.2317E-07,7.8670E-07,8.4399E-07,3.5179E-06,1.2198E-05,3.6658E-05,5.0226E-05,1.0274E-04,1.6156E-04,1.6156E-04,1.6905E-04,2.1524E-04,2.1839E-04,2.5767E-04,2.6416E-04,3.2450E-04,2.1517E-03,8.5438E-03,8.5440E-03,8.5480E-03,9.5221E-03,1.0917E-02,1.0918E-02,1.0918E-02,1.0917E-02,1.6637E-02,1.6637E-02
"NaHSiO3,aq",2.1660E-09,2.1660E-09,2.1660E-09,2.1660E-09,2.1659E-09,2.1652E-09,2.1583E-09,2.0911E-09,1.7416E-09,1.5705E-09,1.2419E-09,1.2045E-09,1.0844E-09,1.0815E-09,9.1534E-10,9.0466E-10,7.2771E-10,5.9504E-10,4.7323E-10,4.3904E-10,3.7004E-10,3.3703E-10,3.3703E-10,3.3176E-10,3.0187E-10,3.0496E-10,3.4218E-10,3.4831E-10,4.0323E-10,1.5564E-09,4.3223E-09,4.3223E-09,4.3222E-09,4.2948E-09,4.4132E-09,4.4132E-09,4.4131E-09,4.4127E-09,4.9868E-09,4.9868E-09
H+,8.1207E-10,8.1207E-10,8.1207E-10,8.1209E-10,8.1232E-10,8.1459E-10,8.3758E-10,1.1023E-09,5.2058E-09,1.2271E-08,7.8359E-08,9.7944E-08,1.9401E-07,1.9682E-07,4.8934E-07,5.2211E-07,1.6986E-06,4.3761E-06,1.0265E-05,1.3036E-05,2.1476E-05,2.7872E-05,2.7872E-05,2.8631E-05,3.2697E-05,3.2996E-05,3.6508E-05,3.7051E-05,4.1707E-05,8.5406E-05,9.1389E-05,9.1387E-05,9.1362E-05,8.5414E-05,8.0321E-05,8.0320E-05,8.0318E-05,8.0314E-05,6.6190E-05,6.6190E-05
MgHSiO3+,7.3412E-10,7.3412E-10,7.3412E-10,7.3413E-10,7.3418E-10,7.3467E-10,7.3960E-10,7.9065E-10,1.1851E-09,1.5131E-09,2.6803E-09,2.8776E-09,3.5312E-09,3.5434E-09,4.5172E-09,4.6055E-09,6.8487E-09,9.4360E-09,1.1571E-08,1.2017E-08,1.2765E-08,1.3219E-08,1.3219E-08,1.3250E-08,1.3445E-08,1.3613E-08,1.5665E-08,1.6005E-08,1.9109E-08,9.8858E-08,3.5448E-07,3.5448E-07,3.5456E-07,3.7372E-07,4.0055E-07,4.0055E-07,4.0056E-07,4.0054E-07,5.0202E-07,5.0202E-07
"SiO2,aq",4.9682E-10,4.9682E-10,4.9682E-10,4.9683E-10,4.9699E-10,4.9853E-10,5.1415E-10,6.9579E-10,3.5823E-09,8.4052E-09,4.7959E-08,5.8869E-08,1.0906E-07,1.1035E-07,2.4584E-07,2.6132E-07,8.5974E-07,2.3178E-06,5.4088E-06,6.8173E-06,1.1158E-05,1.4753E-05,1.4753E-05,1.5151E-05,1.7517E-05,1.7903E-05,2.2877E-05,2.3735E-05,3.2068E-05,3.6512E-04,1.4788E-03,1.4788E-03,1.4788E-03,1.4742E-03,1.5025E-03,1.5025E-03,1.5025E-03,1.5024E-03,1.6014E-03,1.6014E-03
"CO,aq",1.2220E-10,1.2220E-10,1.2220E-10,1.2220E-10,1.2226E-10,1.2281E-10,1.2844E-10,2.0016E-10,2.5988E-09,1.1218E-08,3.0924E-07,4.6937E-07,1.6660E-06,1.7069E-06,9.4587E-06,1.0832E-05,1.6781E-04,1.6258E-03,8.5758E-03,1.2317E-02,2.2462E-02,2.8620E-02,2.8617E-02,2.4437E-02,6.0224E-03,5.9133E-03,4.7773E-03,4.7562E-03,4.5816E-03,3.3853E-03,3.3730E-03,3.3724E-03,3.3619E-03,9.4341E-04,4.2148E-05,4.2144E-05,4.2134E-05,4.2061E-05,5.6986E-05,5.6986E-05
CaHSiO3+,1.1590E-10,1.1590E-10,1.1590E-10,1.1590E-10,1.1591E-10,1.1603E-10,1.1721E-10,1.2949E-10,2.3012E-10,3.1908E-10,6.5753E-10,7.1744E-10,9.2193E-10,9.2582E-10,1.2274E-09,1.2542E-09,1.9317E-09,2.7357E-09,3.4283E-09,3.5790E-09,3.8548E-09,4.0523E-09,4.0523E-09,4.0742E-09,4.2036E-09,4.2575E-09,4.9180E-09,5.0275E-09,6.0322E-09,3.3448E-08,1.2383E-07,1.2383E-07,1.2384E-07,1.2785E-07,1.3622E-07,1.3622E-07,1.3622E-07,1.3621E-07,1.6865E-07,1.6865E-07
HSiO3-,8.0557E-11,8.0557E-11,8.0557E-11,8.0558E-11,8.0565E-11,8.0635E-11,8.1335E-11,8.8580E-11,1.4347E-10,1.8727E-10,3.3211E-10,3.5550E-10,4.2924E-10,4.3038E-10,5.2555E-10,5.3446E-10,7.6429E-10,1.0235E-09,1.2311E-09,1.2755E-09,1.3562E-09,1.4089E-09,1.4089E-09,1.4147E-09,1.4502E-09,1.4682E-09,1.6881E-09,1.7244E-09,2.0553E-09,1.0162E-08,3.3527E-08,3.3527E-08,3.3532E-08,3.4763E-08,3.6747E-08,3.6748E-08,3.6748E-08,3.6747E-08,4.4246E-08,4.4246E-08
"FORMALDEHYDE,aq",3.9865E-12,3.9865E-12,3.9865E-12,3.9866E-12,3.9885E-12,4.0065E-12,4.1910E-12,6.5338E-12,8.0681E-11,3.2823E-10,7.5043E-09,1.1072E-08,3.5718E-08,3.6517E-08,1.7275E-07,1.9518E-07,2.1878E-06,1.4337E-05,4.3728E-05,5.0473E-05,4.9777E-05,3.9823E-05,3.9815E-05,2.6496E-05,1.0873E-06,1.0345E-06,5.8120E-07,5.6361E-07,4.3623E-07,4.3201E-08,1.1559E-08,1.1555E-08,1.1477E-08,8.2226E-10,1.4085E-12,1.4082E-12,1.4075E-12,1.4030E-12,1.5403E-12,1.5403E-12
"FeCl2,aq",8.7021E-13,8.7021E-13,8.7021E-13,8.7026E-13,8.7079E-13,8.7607E-13,9.3062E-13,1.6901E-12,5.0634E-11,3.4021E-10,2.3353E-08,3.9390E-08,1.9478E-07,2.0113E-07,1.7662E-06,2.0830E-06,5.0767E-05,7.0347E-04,6.5347E-03,1.1913E-02,4.1265E-02,7.9775E-02,7.9775E-02,7.8674E-02,6.0062E-02,6.0904E-02,7.0983E-02,7.2495E-02,8.5800E-02,2.3866E-01,2.9444E-01,2.9443E-01,2.9412E-01,2.2753E-01,2.1110E-01,2.1109E-01,2.1107E-01,2.1092E-01,2.0331E-01,2.0331E-01
"HFeO2,aq",2.5100E-14,2.5100E-14,2.5100E-14,2.5101E-14,2.5111E-14,2.5214E-14,2.6266E-14,3.9218E-14,3.4200E-13,1.0393E-12,9.0016E-12,1.1401E-11,2.2366E-11,2.2641E-11,4.9816E-11,5.2711E-11,1.3925E-10,2.4699E-10,3.3308E-10,3.5138E-10,3.7985E-10,3.8907E-10,3.8907E-10,4.0310E-10,5.2315E-10,5.2510E-10,5.4798E-10,5.4291E-10,5.0284E-10,2.5777E-10,1.7271E-10,1.7272E-10,1.7285E-10,2.6924E-10,1.2387E-09,1.2387E-09,1.2388E-09,1.2391E-09,1.1872E-09,1.1872E-09
FeO2-,2.3289E-15,2.3289E-15,2.3289E-15,2.3290E-15,2.3298E-15,2.3371E-15,2.4122E-15,3.2923E-15,1.8446E-14,4.6355E-14,3.1243E-13,3.9023E-13,7.4220E-13,7.5054E-13,1.6275E-12,1.7282E-12,5.6017E-12,1.4106E-11,2.8603E-11,3.4344E-11,5.0817E-11,6.4545E-11,6.4547E-11,6.8717E-11,1.0341E-10,1.0364E-10,1.0644E-10,1.0522E-10,9.5874E-11,5.0913E-11,4.2503E-11,4.2506E-11,4.2552E-11,7.1315E-11,3.5310E-10,3.5310E-10,3.5312E-10,3.5322E-10,4.2041E-10,4.2041E-10
FeO+,4.7746E-16,4.7746E-16,4.7746E-16,4.7748E-16,4.7766E-16,4.7950E-16,4.9823E-16,7.2604E-16,5.7234E-15,1.6960E-14,1.5181E-13,1.9468E-13,4.0116E-13,4.0659E-13,9.7386E-13,1.0378E-12,3.2701E-12,7.2563E-12,1.2488E-11,1.4153E-11,1.7935E-11,2.0257E-11,2.0257E-11,2.1153E-11,2.8537E-11,2.8861E-11,3.2809E-11,3.2925E-11,3.3891E-11,4.4089E-11,5.6506E-11,5.6508E-11,5.6557E-11,8.9629E-11,4.2931E-10,4.2932E-10,4.2933E-10,4.2941E-10,4.7201E-10,4.7201E-10
FeOH+2,2.2117E-20,2.2117E-20,2.2117E-20,2.2118E-20,2.2129E-20,2.2235E-20,2.3322E-20,3.7322E-20,5.1902E-19,2.1705E-18,4.4567E-17,6.3664E-17,1.7845E-16,1.8164E-16,6.3390E-16,6.9960E-16,4.9647E-15,2.2883E-14,6.7619E-14,8.7623E-14,1.5051E-13,2.1281E-13,2.1282E-13,2.2796E-13,3.5756E-13,3.6579E-13,4.7452E-13,4.8587E-13,5.9234E-13,4.9699E-12,3.6477E-11,3.6480E-11,3.6538E-11,6.8486E-11,4.0361E-10,4.0363E-10,4.0366E-10,4.0370E-10,8.5203E-10,8.5203E-10
FeCl+2,2.2708E-24,2.2708E-24,2.2708E-24,2.2709E-24,2.2722E-24,2.2851E-24,2.4180E-24,4.2237E-24,9.7794E-23,5.4892E-22,2.2231E-20,3.4637E-20,1.2667E-19,1.2960E-19,6.5463E-19,7.4423E-19,9.6860E-18,7.4948E-17,3.4160E-16,4.9783E-16,1.1004E-15,1.8014E-15,1.8015E-15,1.9405E-15,3.0847E-15,3.1824E-15,4.5407E-15,4.7165E-15,6.4683E-15,1.4792E-13,2.1194E-12,2.1196E-12,2.1231E-12,4.0304E-12,2.4742E-11,2.4743E-11,2.4745E-11,2.4745E-11,6.0718E-11,6.0718E-11
Fe+3,1.8974E-26,1.8974E-26,1.8974E-26,1.8975E-26,1.8986E-26,1.9090E-26,2.0162E-26,3.4536E-26,6.9516E-25,3.5224E-24,1.0557E-22,1.5722E-22,4.8697E-22,4.9590E-22,1.8598E-21,2.0702E-21,1.7990E-20,9.0626E-20,2.3482E-19,2.8075E-19,3.8500E-19,4.7341E-19,4.7342E-19,4.9893E-19,7.2806E-19,7.4800E-19,1.0193E-18,1.0516E-18,1.3673E-18,2.6302E-17,5.0074E-16,5.0079E-16,5.0178E-16,1.0379E-15,6.8590E-15,6.8593E-15,6.8601E-15,6.8609E-15,2.0592E-14,2.0592E-14
"H2O2,aq",2.9759E-64,2.9759E-64,2.9759E-64,2.9765E-64,2.9821E-64,3.0383E-64,3.6618E-64,2.3127E-63,8.0438E-59,2.6522E-56,8.0796E-51,3.7548E-50,3.7868E-48,4.1364E-48,1.7567E-45,2.7998E-45,2.7014E-41,5.6084E-38,3.9159E-35,2.4485E-34,1.4087E-32,1.6294E-31,1.6298E-31,2.6308E-31,5.5182E-30,5.8896E-30,1.2398E-29,1.3466E-29,2.6605E-29,9.4306E-27,3.4977E-25,3.4987E-25,3.5153E-25,1.7959E-24,6.0979E-23,6.0987E-23,6.1007E-23,6.1102E-23,1.5333E-22,1.5333E-22
HO2-,3.8278E-67,3.8278E-67,3.8278E-67,3.8285E-67,3.8352E-67,3.9024E-67,4.6418E-67,2.5749E-66,4.2478E-62,9.1817E-60,1.0837E-54,4.4739E-54,3.1172E-52,3.3781E-52,8.5127E-50,1.3052E-49,6.0554E-46,6.9084E-43,2.8213E-40,1.5119E-39,6.1909E-38,5.8807E-37,5.8821E-37,9.2955E-37,1.7269E-35,1.8263E-35,3.4682E-35,3.7101E-35,6.4755E-35,8.8983E-33,2.0981E-31,2.0986E-31,2.1085E-31,1.0705E-30,3.6018E-29,3.6023E-29,3.6034E-29,3.6090E-29,8.9286E-29,8.9286E-29
"O2,aq",3.1217E-93,3.1217E-93,3.1217E-93,3.1225E-93,3.1311E-93,3.2175E-93,4.2226E-93,6.1984E-92,2.7541E-85,1.3962E-81,1.7900E-73,1.7483E-72,1.6616E-69,1.8956E-69,1.5924E-65,3.1972E-65,3.0511E-59,3.2209E-54,7.5962E-50,1.3272E-48,8.0650E-46,4.1334E-44,4.1352E-44,9.6938E-44,2.4518E-41,2.7495E-41,1.0205E-40,1.1729E-40,3.6963E-40,8.4051E-36,4.4723E-33,4.4746E-33,4.5154E-33,1.0836E-31,1.1325E-28,1.1328E-28,1.1335E-28,1.1371E-28,5.3672E-28,5.3672E-28
gCl-,-0.2651,-0.2651,-0.2651,-0.2651,-0.2651,-0.2651,-0.2653,-0.2667,-0.2765,-0.2833,-0.3032,-0.3062,-0.3128,-0.3127,-0.3170,-0.3183,-0.3631,-0.4154,-0.4607,-0.4746,-0.5149,-0.5519,-0.5519,-0.5565,-0.5848,-0.5858,-0.5979,-0.5999,-0.6164,-0.8472,-1.1117,-1.1117,-1.1118,-1.1460,-1.1857,-1.1857,-1.1857,-1.1857,-1.3106,-1.3106
gMgCl+,0.2356,0.2356,0.2356,0.2356,0.2356,0.2357,0.2367,0.2456,0.2808,0.2878,0.2679,0.2623,0.2392,0.2386,0.1997,0.1970,0.1291,0.0090,-0.1782,-0.2464,-0.4215,-0.5429,-0.5429,-0.5577,-0.6375,-0.6397,-0.6657,-0.6696,-0.7022,-1.0055,-1.2014,-1.2014,-1.2015,-1.2166,-1.2358,-1.2358,-1.2358,-1.2358,-1.2901,-1.2901
"gCaCl2,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gMg+2,0.0831,0.0831,0.0831,0.0831,0.0831,0.0833,0.0846,0.0970,0.1439,0.1499,0.1066,0.0961,0.0576,0.0567,-0.0026,-0.0076,-0.1431,-0.3609,-0.6717,-0.7829,-1.0713,-1.2777,-1.2777,-1.3034,-1.4448,-1.4489,-1.4961,-1.5033,-1.5632,-2.1663,-2.6117,-2.6117,-2.6119,-2.6550,-2.7053,-2.7053,-2.7053,-2.7053,-2.8485,-2.8485
gCa+2,-0.1044,-0.1044,-0.1044,-0.1044,-0.1044,-0.1043,-0.1030,-0.0914,-0.0500,-0.0477,-0.1017,-0.1139,-0.1553,-0.1561,-0.2161,-0.2217,-0.3825,-0.6295,-0.9639,-1.0822,-1.3915,-1.6174,-1.6174,-1.6455,-1.8011,-1.8058,-1.8595,-1.8677,-1.9365,-2.6630,-3.2454,-3.2454,-3.2457,-3.3056,-3.3757,-3.3757,-3.3758,-3.3757,-3.5815,-3.5815
gK+,0.1628,0.1628,0.1628,0.1628,0.1628,0.1629,0.1638,0.1723,0.2053,0.2108,0.1869,0.1806,0.1566,0.1559,0.1172,0.1143,0.0368,-0.0943,-0.2903,-0.3612,-0.5441,-0.6731,-0.6731,-0.6887,-0.7729,-0.7754,-0.8039,-0.8082,-0.8442,-1.1957,-1.4469,-1.4469,-1.4470,-1.4683,-1.4955,-1.4955,-1.4955,-1.4954,-1.5759,-1.5759
gCaCl+,0.2356,0.2356,0.2356,0.2356,0.2356,0.2357,0.2367,0.2456,0.2808,0.2878,0.2679,0.2623,0.2392,0.2386,0.1997,0.1970,0.1291,0.0090,-0.1782,-0.2464,-0.4215,-0.5429,-0.5429,-0.5577,-0.6375,-0.6397,-0.6657,-0.6696,-0.7022,-1.0055,-1.2014,-1.2014,-1.2015,-1.2166,-1.2358,-1.2358,-1.2358,-1.2358,-1.2901,-1.2901
gNa+,0.2356,0.2356,0.2356,0.2356,0.2356,0.2357,0.2367,0.2456,0.2808,0.2878,0.2679,0.2623,0.2392,0.2386,0.1997,0.1970,0.1291,0.0090,-0.1782,-0.2464,-0.4215,-0.5429,-0.5429,-0.5577,-0.6375,-0.6397,-0.6657,-0.6696,-0.7022,-1.0055,-1.2014,-1.2014,-1.2015,-1.2166,-1.2358,-1.2358,-1.2358,-1.2358,-1.2901,-1.2901
"gNaCl,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gMg(For)+,0.2356,0.2356,0.2356,0.2356,0.2356,0.2357,0.2367,0.2456,0.2808,0.2878,0.2679,0.2623,0.2392,0.2386,0.1997,0.1970,0.1291,0.0090,-0.1782,-0.2464,-0.4215,-0.5429,-0.5429,-0.5577,-0.6375,-0.6397,-0.6657,-0.6696,-0.7022,-1.0055,-1.2014,-1.2014,-1.2015,-1.2166,-1.2358,-1.2358,-1.2358,-1.2358,-1.2901,-1.2901
"gMgCO3,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gCaCO3,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gMg(For)2,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gMgHCO3+,0.2356,0.2356,0.2356,0.2356,0.2356,0.2357,0.2367,0.2456,0.2808,0.2878,0.2679,0.2623,0.2392,0.2386,0.1997,0.1970,0.1291,0.0090,-0.1782,-0.2464,-0.4215,-0.5429,-0.5429,-0.5577,-0.6375,-0.6397,-0.6657,-0.6696,-0.7022,-1.0055,-1.2014,-1.2014,-1.2015,-1.2166,-1.2358,-1.2358,-1.2358,-1.2358,-1.2901,-1.2901
"gFORMATE,aq",-0.1923,-0.1923,-0.1923,-0.1923,-0.1923,-0.1923,-0.1924,-0.1935,-0.2010,-0.2064,-0.2221,-0.2245,-0.2301,-0.2300,-0.2345,-0.2355,-0.2708,-0.3121,-0.3486,-0.3599,-0.3923,-0.4217,-0.4217,-0.4255,-0.4493,-0.4501,-0.4598,-0.4613,-0.4744,-0.6570,-0.8662,-0.8662,-0.8663,-0.8943,-0.9260,-0.9260,-0.9260,-0.9260,-1.0248,-1.0248
gCaHCO3+,0.2356,0.2356,0.2356,0.2356,0.2356,0.2357,0.2367,0.2456,0.2808,0.2878,0.2679,0.2623,0.2392,0.2386,0.1997,0.1970,0.1291,0.0090,-0.1782,-0.2464,-0.4215,-0.5429,-0.5429,-0.5577,-0.6375,-0.6397,-0.6657,-0.6696,-0.7022,-1.0055,-1.2014,-1.2014,-1.2015,-1.2166,-1.2358,-1.2358,-1.2358,-1.2358,-1.2901,-1.2901
"gKCl,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gNa(For),aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gHCO3-,-0.1923,-0.1923,-0.1923,-0.1923,-0.1923,-0.1923,-0.1924,-0.1935,-0.2010,-0.2064,-0.2221,-0.2245,-0.2301,-0.2300,-0.2345,-0.2355,-0.2708,-0.3121,-0.3486,-0.3599,-0.3923,-0.4217,-0.4217,-0.4255,-0.4493,-0.4501,-0.4598,-0.4613,-0.4744,-0.6570,-0.8662,-0.8662,-0.8663,-0.8943,-0.9260,-0.9260,-0.9260,-0.9260,-1.0248,-1.0248
